Model,Accuracy,AUC,Recall,Prec.,F1,LogLoss,Tact,imputation_type,fix_imbalance,remove_outliers,normalize,normalize_method,transformation,transformation_method,feature_interaction,polynomial_features,combine_rare_levels,create_clusters,feature_selection,remove_multicollinearity,pca,pca_method,pca_components,ignore_low_variance,seed,n_folds,n_iter,n_top,metric,models,Mode
base-002,1.0,1.0,1.0,1.0,1.0,0.1063,0:00:31,iterative,False,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Train
base-002,0.8529,0.797,0.1186,0.7778,0.2059,0.3622,0:00:31,iterative,False,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Test
base-002,0.9293,0.9364,0.6348,0.8968,0.7434,0.2094,0:00:56,iterative,False,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,AUC,"rf, gbc, et",Train
base-002,0.8665,0.842,0.3729,0.6471,0.4731,0.3373,0:00:56,iterative,False,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,AUC,"rf, gbc, et",Test
base-002,1.0,1.0,1.0,1.0,1.0,0.0814,0:00:47,iterative,False,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,Prec.,"rf, gbc, et",Train
base-002,0.8447,0.7832,0.0847,0.625,0.1493,0.3654,0:00:47,iterative,False,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,Prec.,"rf, gbc, et",Test
base-002,0.9519,0.9569,0.7584,0.931,0.8359,0.1802,0:00:54,iterative,False,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,Accuracy,"rf, gbc, et",Train
base-002,0.8665,0.8431,0.3559,0.6562,0.4615,0.3356,0:00:54,iterative,False,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,Accuracy,"rf, gbc, et",Test
base-002,0.9565,0.9839,0.7697,0.9514,0.8509,0.1762,0:00:58,iterative,True,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Train
base-002,0.8719,0.8059,0.3051,0.75,0.4337,0.3447,0:00:58,iterative,True,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Test
base-002,1.0,1.0,1.0,1.0,1.0,0.0035,0:01:18,iterative,True,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,AUC,"rf, gbc, et",Train
base-002,0.8638,0.8224,0.2034,0.8,0.3243,0.4491,0:01:18,iterative,True,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,AUC,"rf, gbc, et",Test
base-002,1.0,1.0,1.0,1.0,1.0,0.0549,0:01:00,iterative,True,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,Prec.,"rf, gbc, et",Train
base-002,0.861,0.8079,0.2034,0.75,0.32,0.3559,0:01:00,iterative,True,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,Prec.,"rf, gbc, et",Test
base-002,1.0,1.0,1.0,1.0,1.0,0.0,0:01:24,iterative,True,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,Accuracy,"rf, gbc, et",Train
base-002,0.861,0.7936,0.2034,0.75,0.32,0.3666,0:01:24,iterative,True,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,Accuracy,"rf, gbc, et",Test
base-002,0.9592,0.986,0.7753,0.965,0.8598,0.1753,0:01:05,iterative,True,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Train
base-002,0.8638,0.8081,0.3051,0.6667,0.4186,0.3493,0:01:05,iterative,True,True,True,robust,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Test
base-002,0.9556,0.9875,0.7697,0.9448,0.8483,0.1724,0:00:59,iterative,True,True,True,robust,True,yeo-johnson,False,False,False,False,True,True,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Train
base-002,0.8692,0.8032,0.322,0.7037,0.4419,0.3462,0:00:59,iterative,True,True,True,robust,True,yeo-johnson,False,False,False,False,True,True,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Test
base-002,0.9193,0.9185,0.5955,0.8618,0.7043,0.2359,0:00:57,simple,False,False,False,zscore,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Train
base-002,0.8529,0.7837,0.3051,0.5806,0.4,0.377,0:00:57,simple,False,False,False,zscore,False,yeo-johnson,False,False,False,False,False,False,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Test
base-002,0.9583,0.9864,0.7697,0.9648,0.8562,0.1754,0:01:00,iterative,True,True,True,robust,True,yeo-johnson,False,False,False,False,True,True,False,linear,0.99,True,111,10,10,3,LogLoss,"rf, gbc, et",Train
base-002,0.8665,0.8092,0.322,0.6786,0.4368,0.3452,0:01:00,iterative,True,True,True,robust,True,yeo-johnson,False,False,False,False,True,True,False,linear,0.99,True,111,10,10,3,LogLoss,"rf, gbc, et",Test
