Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,Tact,imputation_type,remove_outliers,outliers_threshold,normalize,normalize_method,transformation,transformation_method,feature_interaction,polynomial_features,combine_rare_levels,create_clusters,feature_selection,feature_selection_threshold,remove_multicollinearity,multicollinearity_threshold,pca,pca_method,pca_components,ignore_low_variance,seed,n_folds,n_iter,n_top,metric,models,Mode
base,0.9966,1.6376,1.2797,0.981,0.1213,0.0554,0:00:34,simple,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Train
base,2.4296,14.854,3.8541,0.813,0.2519,0.1234,0:00:34,simple,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Test
base,0.9966,1.6376,1.2797,0.981,0.1213,0.0554,0:00:37,simple,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Train
base,2.4296,14.854,3.8541,0.813,0.2519,0.1234,0:00:37,simple,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Test
base,1.0346,2.5149,1.5858,0.9708,0.1326,0.0631,0:00:33,simple,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,True,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Train
base,2.6928,18.5395,4.3058,0.7666,0.1806,0.1366,0:00:33,simple,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,True,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Test
base,0.9566,1.5349,1.2389,0.9822,0.1155,0.052,0:00:36,simple,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,True,0.9,False,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Train
base,2.294,13.2439,3.6392,0.8332,0.2385,0.1163,0:00:36,simple,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,True,0.9,False,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Test
base,1.0259,1.7744,1.3321,0.9794,0.1087,0.0554,0:00:37,simple,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,True,0.9,True,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Train
base,2.6103,17.6747,4.2041,0.7775,0.1721,0.1295,0:00:37,simple,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,True,0.9,True,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Test
base,0.7248,1.0484,1.0239,0.9878,0.0526,0.0381,0:00:33,simple,False,0.05,True,robust,True,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Train
base,2.1463,10.9417,3.3078,0.8622,0.1324,0.1038,0:00:33,simple,False,0.05,True,robust,True,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Test
base,0.9921,1.6362,1.2791,0.981,0.0714,0.0507,0:00:37,simple,False,0.05,True,robust,True,yeo-johnson,False,False,False,False,False,0.8,False,0.9,True,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Train
base,2.0949,11.7557,3.4287,0.852,0.1397,0.1014,0:00:37,simple,False,0.05,True,robust,True,yeo-johnson,False,False,False,False,False,0.8,False,0.9,True,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Test
base,0.3955,0.3116,0.5582,0.9964,0.0298,0.0212,0:00:31,simple,False,0.05,True,robust,True,yeo-johnson,False,False,False,False,False,0.8,True,0.9,False,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Train
base,2.1342,10.9106,3.3031,0.8626,0.1347,0.1039,0:00:31,simple,False,0.05,True,robust,True,yeo-johnson,False,False,False,False,False,0.8,True,0.9,False,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Test
base,1.0151,1.6333,1.278,0.981,0.0714,0.0533,0:00:37,simple,False,0.05,True,robust,True,yeo-johnson,False,False,False,False,False,0.8,True,0.9,True,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Train
base,2.4154,14.7481,3.8403,0.8143,0.1543,0.1139,0:00:37,simple,False,0.05,True,robust,True,yeo-johnson,False,False,False,False,False,0.8,True,0.9,True,linear,0.99,False,111,10,10,3,R2,"rf, gbr, et",Test
